# cpace v0.1.3 targeted fuzz rerun
# candidate=1f19e278112fa037890848ed6c086addeffdca4e
# candidate_worktree=/private/tmp/cpace-1f19e27-fuzz-20260731T082842Z-imacpro/repo
# original_run_dir=/private/tmp/cpace-1f19e27-fuzz-20260731T082842Z-imacpro
# target=FuzzMessageARoundTrip
# transcript_start_utc=2026-07-31T22:50:09Z

$ hostname
# start_utc=2026-07-31T22:50:09Z
iMacPro.local
# end_utc=2026-07-31T22:50:09Z exit=0

$ sw_vers
# start_utc=2026-07-31T22:50:09Z
ProductName:		macOS
ProductVersion:		15.7.7
BuildVersion:		24G720
# end_utc=2026-07-31T22:50:09Z exit=0

$ uname -a
# start_utc=2026-07-31T22:50:09Z
Darwin iMacPro.local 24.6.0 Darwin Kernel Version 24.6.0: Tue Apr 21 20:17:54 PDT 2026; root:xnu-11417.140.69.710.16~1/RELEASE_X86_64 x86_64
# end_utc=2026-07-31T22:50:09Z exit=0

$ git --version
# start_utc=2026-07-31T22:50:09Z
git version 2.39.5 (Apple Git-154)
# end_utc=2026-07-31T22:50:09Z exit=0

$ go version
# start_utc=2026-07-31T22:50:09Z
go version go1.26.5 darwin/amd64
# end_utc=2026-07-31T22:50:09Z exit=0

$ go env GOOS GOARCH GOVERSION GOTOOLCHAIN GOFLAGS GOENV
# start_utc=2026-07-31T22:50:09Z
darwin
amd64
go1.26.5
go1.26.5

/Users/josh/Library/Application Support/go/env
# end_utc=2026-07-31T22:50:09Z exit=0

$ git rev-parse HEAD
1f19e278112fa037890848ed6c086addeffdca4e

$ git status --porcelain=v1

$ git diff --exit-code --no-ext-diff
# start_utc=2026-07-31T22:50:09Z
# end_utc=2026-07-31T22:50:09Z exit=0

$ FUZZ_RACE=0 GOMAXPROCS=4 go test -timeout=0 -fuzz=FuzzMessageARoundTrip -fuzztime=1h .
# rerun_start_utc=2026-07-31T22:50:09Z
# environment=GOTOOLCHAIN=go1.26.5 FUZZ_RACE=0 GOMAXPROCS=4 FUZZTIME=1h FUZZ_TEST_PARALLEL=unset
fuzz: elapsed: 0s, gathering baseline coverage: 0/15 completed
fuzz: elapsed: 0s, gathering baseline coverage: 15/15 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 279863 (93270/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6s, execs: 572639 (97609/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9s, execs: 856185 (94477/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 12s, execs: 1147513 (97149/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 15s, execs: 1440277 (97588/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 18s, execs: 1733061 (97591/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 21s, execs: 2016406 (94452/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 24s, execs: 2309228 (97607/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 27s, execs: 2602111 (97627/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 30s, execs: 2884900 (94201/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 33s, execs: 3177941 (97745/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 36s, execs: 3470894 (97652/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 39s, execs: 3763859 (97655/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 42s, execs: 4047098 (94413/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 45s, execs: 4339602 (97436/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 48s, execs: 4632321 (97573/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 51s, execs: 4915317 (94394/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 54s, execs: 5208076 (97522/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 57s, execs: 5500965 (97694/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m0s, execs: 5793176 (97402/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m3s, execs: 6076395 (94408/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m6s, execs: 6369123 (97512/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m9s, execs: 6661731 (97600/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m12s, execs: 6943918 (94063/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m15s, execs: 7236305 (97397/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m18s, execs: 7528785 (97558/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m21s, execs: 7811385 (94200/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m24s, execs: 8104073 (97563/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m27s, execs: 8396652 (97462/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m30s, execs: 8689019 (97520/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m33s, execs: 8972115 (94357/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m36s, execs: 9264695 (97535/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m39s, execs: 9556952 (97420/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m42s, execs: 9839674 (94196/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m45s, execs: 10131844 (97406/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m48s, execs: 10423991 (97413/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m51s, execs: 10716472 (97494/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m54s, execs: 10998988 (94171/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 1m57s, execs: 11291629 (97547/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m0s, execs: 11584035 (97470/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m3s, execs: 11867027 (94267/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m6s, execs: 12157521 (96896/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m9s, execs: 12447433 (96573/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m12s, execs: 12738191 (96950/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m15s, execs: 13023448 (95120/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m18s, execs: 13313237 (96532/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m21s, execs: 13605633 (97530/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m24s, execs: 13890587 (94971/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m27s, execs: 14180600 (96686/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m30s, execs: 14472878 (97426/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m33s, execs: 14764923 (97348/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m36s, execs: 15050100 (95059/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m39s, execs: 15339914 (96597/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m42s, execs: 15632445 (97517/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m45s, execs: 15924874 (97477/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m48s, execs: 16207766 (94296/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m51s, execs: 16500235 (97490/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m54s, execs: 16792578 (97448/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 2m57s, execs: 17078113 (95179/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 3m0s, execs: 17366717 (96201/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 3m3s, execs: 17658591 (97291/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 3m6s, execs: 17950616 (97342/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 3m9s, execs: 18232328 (93904/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 3m12s, execs: 18523024 (96899/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 3m15s, execs: 18815512 (97497/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 3m18s, execs: 19100291 (94926/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 3m21s, execs: 19390543 (96750/sec), new interesting: 0 (total: 15)
